brand,model,category
Oracle,Sun SPARC Enterprise M3000,Servers
Oracle,Sun SPARC Enterprise M4000,Servers
Oracle,Sun SPARC Enterprise M5000,Servers
Oracle,Sun SPARC Enterprise M8000,Servers
Oracle,Sun SPARC Enterprise M9000,Servers
Oracle,Sun SPARC Enterprise T1000,Servers
Oracle,Sun SPARC Enterprise T2000,Servers
Oracle,Sun SPARC Enterprise T5120,Servers
Oracle,Sun SPARC Enterprise T5140,Servers
Oracle,Sun SPARC Enterprise T5220,Servers
Oracle,Sun SPARC Enterprise T5240,Servers
Oracle,Sun SPARC Enterprise T5440,Servers
Oracle,Sun SPARC IPC (4/40),Servers
Oracle,Sun SPARC IPX (4/50),Servers
Oracle,Sun SPARC T3-1/T3-2/T3-4,Servers
Oracle,Sun SPARC T4-1/T4-2/T4-4,Servers
Oracle,Sun Storage 10GbE FCoE ExpressModule Converged Network Adapter,Network
Oracle,Sun Storage 10GbE FCoE PCIe Converged Network Adapter,Network
Oracle,Sun Storage 16 Gb FC ExpressModule Universal HBA,Network
Oracle,"Sun Storage 16 Gb FC ExpressModule Universal HBA, Emulex",Network
Oracle,Sun Storage 16 Gb FC PCIe Universal HBA,Network
Oracle,"Sun Storage 16 Gb FC PCIe Universal HBA, Emulex",Network
Oracle,Sun Storage 6 Gb SAS ExpressModule HBA,Network
Oracle,Sun Storage 6 Gb SAS PCIe External HBA,Network
Oracle,Sun Storage 6 Gb SAS PCIe Internal HBA,Network
Oracle,Sun Storage 6 Gb SAS PCIe Internal RAID HBA,Network
Oracle,Sun Storage 6 Gb SAS PCIe REM HBA,Network
Oracle,Sun Storage 6 Gb SAS PCIe REM RAID HBA,Network
Oracle,Sun Storage J4200,Storage
Oracle,Sun Storage J4400,Storage
Oracle,Sun Storage J4500,Storage
Oracle,Sun StorageTek 2510,Storage
Oracle,Sun StorageTek 2530,Storage
Oracle,Sun StorageTek 2540,Storage
Oracle,Sun StorageTek 6140,Storage
Oracle,Sun StorageTek 6540,Storage
Oracle,Sun StorEdge 3120,Storage
Oracle,Sun StorEdge 3310,Storage
Oracle,Sun StorEdge 3320,Storage
Oracle,Sun StorEdge 3510 FC,Storage
Oracle,Sun StorEdge 3511 FC,Storage
Oracle,Sun StorEdge 3910,Storage
Oracle,Sun StorEdge 6020/6120,Storage
Oracle,Sun StorEdge 6130,Storage
Oracle,Sun StorEdge 6320,Storage
Oracle,Sun StorEdge 6910,Storage
Oracle,Sun StorEdge 6920,Storage
Oracle,Sun StorEdge 9970/9980,Storage
Oracle,Sun StorEdge 9985,Storage
Oracle,Sun StorEdge 9990,Storage
Oracle,Sun StorEdge A1000,Storage
Oracle,Sun StorEdge A3500,Storage
Oracle,Sun StorEdge A5000,Storage
Oracle,Sun StorEdge A5100,Storage
Oracle,Sun StorEdge A5200,Storage
Oracle,Sun StorEdge D1000,Storage
Oracle,Sun StorEdge D2,Storage
Oracle,Sun StorEdge D240,Storage
Oracle,Sun StorEdge S1,Storage
Oracle,Sun StorEdge T3,Storage
Oracle,Sun Ultra 1,Servers
Oracle,Sun Ultra 10,Servers
Oracle,Sun Ultra 2,Servers
Oracle,Sun Ultra 20/25,Servers
Oracle,Sun Ultra 30,Servers
Oracle,Sun Ultra 40/45,Servers
Oracle,Sun Ultra 5,Servers
Oracle,Sun Ultra 60,Servers
Oracle,Sun Ultra 80,Servers
Oracle,Sun X86 Server,Servers
Oracle,SuperCluster M7,Servers
Oracle,SuperCluster M7  Minimum Rack,Servers
Oracle,SuperCluster M7 Maximum Compute Rack,Servers
Oracle,SuperCluster M7 Maximum Storage Rack,Storage
Oracle,SuperCluster T5-8,Servers
Oracle,Switch ES1-24,Network
Oracle,VM Server for SPARC,Servers
Oracle,VM Server for x86,Servers
Oracle,Zero Data Loss Recovery Appliance,Storage
Oracle,ZFS Backup Appliance,Storage
Oracle,ZFS Backup Appliance ZS5-2,Storage
Oracle,ZFS Storage Appliance,Storage
Oracle,ZFS Storage ZS3-2,Storage
Oracle,ZFS Storage ZS4-4,Storage
Oracle,ZFS Storage ZS5-2,Storage
Oracle,ZFS Storage ZS5-4,Storage
