Doc currency,USD,,,,,,,,,
,,,,,,,,,,
A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price
,,,"Dynamics 365 for Operations, Enterprise Edition Device (Government Pricing)",d292432d-6f77-4b5f-9cb1-7db8ac292755,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,52.50,75.00
,,,"Dynamics 365 for Operations, Enterprise Edition Device add-on for AX Task Device (qualified offer) (Government Pricing)",bae44560-609c-4a5b-a8ff-f2347b8c2b1c,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,26.31,37.60
,,,"Dynamics 365 for Operations, Enterprise Edition Device from SA for AX Task Device (qualified offer) (Government Pricing)",55134101-227a-4eeb-a13c-831b9030afe6,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,31.50,45.00
,,,"Dynamics 365 for Project Service Automation, Enterprise Edition (Government Pricing)",4db68a68-8ec9-472b-95bc-e1dfe98f1d3b,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,71.25,95.00
,,,"Dynamics 365 for Project Service Automation, Enterprise Edition for CRMOL Basic + Project Service Add-On (Qualified Offer) (Government Pricing)",c62f7fb2-d939-4e9d-b714-49d928f75668,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,57.00,76.00
,,,"Dynamics 365 for Retail, Enterprise Edition (Government Pricing)",9d127031-c9b0-471c-aa76-a9dbff93ef0d,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,119.00,170.00
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing),ed617729-4456-44c1-b094-563c938a760f,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,71.25,95.00
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing) Add-On for CRM Basic (Qualified Offer),dc7ea830-5bba-4eb7-b18a-8fe7c5096633,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,21.22,28.30
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing) CRMOL Basic (Qualified Offer),4bcf28d2-5570-4a07-88a7-50c515ffae16,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,37.50,50.00
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing) CRMOL Professional (Qualified Offer),da6372a4-5f8c-4150-9660-62c270ac866a,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,57.00,76.00
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing) Device,875e261a-33e7-444c-b05f-c4ef02f1f238,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,108.75,145.00
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing) From SA for CRM Basic (Qualified Offer),aa4b5f32-57c4-44f3-bf96-06b3243bf7e9,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,26.25,35.00
,,,Dynamics 365 for Sales Enterprise Edition (Government Pricing) Qualified Offer for CRMOL Pro Add-On to O365 Users,cdd5d9c0-27d4-402e-bdef-7737b8dd9152,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,43.89,58.50
,,,"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) Device CAL (Government Pricing)",6e296ff7-bc2f-45d7-90c3-8926c257736d,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,92.44,123.30
,,,"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) User CAL (Government Pricing)",fa3d1005-c16d-4c28-8f06-3724958ef485,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,60.56,80.80
,,,"Dynamics 365 for Talent, Enterprise Edition (Government Pricing)",ec7512e7-b9cf-4a84-9e3b-2ea4f641b1f3,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,28.00,40.00
,,,Dynamics 365 for Team Members Enterprise Edition (Government Pricing),f0451b38-4b71-4bab-b7a1-34cc6d666afe,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,6.00,8.00
,,,Dynamics 365 for Team Members Enterprise Edition (Government Pricing) (SMB Offer),81eeeac5-0eae-4f40-b7b2-2cffae499980,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,3.50,5.00
,,,Dynamics 365 for Team Members Enterprise Edition (Government Pricing) Add-On for AX Task or Self-serve (Qualified Offer),2ddf64e0-2d36-4f1e-b215-30739d585a9a,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,0.74,1.10
,,,Dynamics 365 for Team Members Enterprise Edition (Government Pricing) Add-On for CRM Essentials (Qualified Offer),1ac4008e-3d89-4534-bae8-13a4de46b5b8,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,3.34,4.50
,,,Dynamics 365 for Team Members Enterprise Edition (Government Pricing) From SA for AX Task or Self-serve (Qualified Offer),0ca8c4b5-7fe1-47d4-a606-b5cc13335dbf,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.20,6.00
,,,Dynamics 365 for Team Members Enterprise Edition (Government Pricing) From SA for CRM Essentials (Qualified Offer),941178c1-7cc1-45cd-9924-9dcd53f0661d,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.50,6.00
,,,"Dynamics 365 for Team Members, Business Edition (Government Pricing)",0532ade2-5431-4825-9aa1-66a8b35357dc,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,3.50,5.00
,,,"Dynamics 365 for Team Members, Business Edition from SA for GP/SL Ltd (qualified offer) - Government Pricing",61dac174-3462-46b0-8192-b1d4a725c5be,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,2.10,3.00
,,,"Dynamics 365 for Team Members, Enterprise Edition - From SA From Team Members (On-Premises) User/Device CAL (Government Pricing)",e8ec67c1-c9bc-4db1-8468-acc9345e72c6,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,6.38,8.50
,,,"Dynamics 365 for Unf Ops Plan, Ent Edition (Government Pricing)",ff2de9b7-5ad9-4038-89b5-a446e770eb0a,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,133.00,190.00
,,,Enterprise Mobility + Security E3 (Government Pricing),461d7db7-ec67-4671-bf9b-22efde413f0f,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,6.99,8.70
,,,Exchange Online (Plan 2) (Government Pricing),ec0d51df-916f-4455-a096-5ab08f58dbd2,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,6.40,8.00
,,,Exchange Online Advanced Threat Protection (Government Pricing),84690799-e043-4de3-b4bd-3e6493283c92,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,1.60,2.00
,,,Exchange Online Archiving for Exchange Online (Government Pricing),cb038730-6cbe-47b9-afd4-ca7fa5d0c39b,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,2.40,3.00
,,,Exchange Online Kiosk (Government Pricing),22b61e04-b7eb-4405-9cb3-6a4407b9f95a,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,1.60,2.00
,,,Exchange Online Plan 1 (Government Pricing),24cc266d-6fd3-4b85-b9c8-4d5f587521ac,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,3.20,4.00
,,,Intune (Government Pricing),16879030-563b-4c89-9586-2cb79ed270ee,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.80,6.00
,,,Microsoft 365 E3 (Government Pricing),e9025a44-59b1-497b-a5be-f148006549ba,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,27.16,34.00
,,,Microsoft 365 E5 (Government Pricing),e016b974-a412-404f-98cd-db92311afb10,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,48.85,61.10
,,,Microsoft 365 E5 without PSTN Conferencing (Government Pricing),096fabdf-aeb1-43db-b04b-ff453b0afadc,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,48.47,60.60
,,,Microsoft Cloud App Security (Government Pricing),a5f80a44-fde7-4b16-8fc4-1a9db7a4375b,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.00,5.00
,,,Microsoft Social Engagement Additional 10K Posts (Government Pricing),21e4b963-3d7c-4bde-946c-b4110e4de0bf,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,75.00,100.00
,,,Microsoft Social Engagement Additional 10k Posts (minimum 10 licenses) (Government Pricing),853bc104-2ce1-4727-ac31-3c454bcb0e73,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,52.50,70.00
,,,Microsoft Social Engagement Additional 10k Posts (minimum 100 licenses) (Government Pricing),59e61ebc-b1f5-4e58-9887-ecf6993d38e8,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,30.00,40.00
,,,Microsoft Stream Plan 2 for Office 365 Add-On (Government Pricing),63780231-f383-4408-80e2-be7807e79545,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,1.60,2.00
