,model,retail_price,partner_price,category,brand
149,UNBUNDLED 4 NODE GEN4LP 2TB FLD INST,"$38,350","$23,777",Storage,EMC
150,BUNDLED 4 NODE GEN4LP 2TB FACTORY INST,"$38,350","$23,777",Storage,EMC
151,UNBUNDLED 4 NODE GEN4LP 3TB FLD INST,"$53,350","$33,077",Storage,EMC
152,BUNDLED 4 NODE GEN4LP 3TB FACTORY INST,"$53,350","$33,077",Storage,EMC
153,CLUSTER UPG KIT,"$10,200","$6,324",Storage,EMC
154,SINGLE CUA NODE G4LP,"$6,200","$3,844",Storage,EMC
155,CENTERA INTERNAL BOX CUA SW,"$11,600","$8,584",Storage,EMC
156,40U VNX TITAN RACK SINGLE PHASE POWER,"$4,200","$2,604",Storage,EMC
157,SP PWR EXP EMC RK,"$1,200",$744,Storage,EMC
158,RTU CENTERA BASIC - PARITY 2-NODE RIGHT-,"$16,300","$12,062",Storage,EMC
159,EMC CENTERA GEN 4 - PARITY (UPGRADE) 2-N,"$3,000","$2,220",Storage,EMC
160,EMC CENTERA GEN 4 REPLICATION 2-NODE RIG,"$2,500","$1,850",Storage,EMC
161,CENTERA 2-NODE UPGRADE FIELD INSTALL KIT,$950,$589,Storage,EMC
162,EMC CENTERA SEEK BASE 2-NODE RIGHT-TO-US,"$2,000","$1,480",Storage,EMC
163,EMC CENTERA SEEK & CHARGEBACK REPORTER C,"$2,500","$1,850",Storage,EMC
164,3P NAM PWR RK FLD,"$1,200",$744,Storage,EMC
165,UNBUNDLED 4 NODE GEN4LP WITH 1TB DRIVES,"$20,940","$12,983",Storage,EMC
166,BUNDLED 4 NODE GEN4LP WITH 1TB DRIVES WI,"$20,940","$12,983",Storage,EMC
167,Centera 4-node base field model with 2TB,"$38,350","$23,777",Storage,EMC
168,Centera 4-node base manufacturing model,"$38,350","$23,777",Storage,EMC
169,UNBUNDLED 4 NODE CENTERA GEN4LP 3TB DRIV,"$53,350","$33,077",Storage,EMC
170,BUNDLED 4 NODE CENTERA GEN4LP 3TB DRIVES,"$53,350","$33,077",Storage,EMC
171,4NODE ADVRETN MGMT SW LIC,"$2,800","$2,072",Storage,EMC
172,CENTERA 4-NODE BASE FIELD INSTALL KIT,"$1,400",$868,Storage,EMC
173,NODE COMP PLUS SW LIC,"$6,200","$4,588",Storage,EMC
174,4NODE GOV EDITION SW LIC,"$6,200","$4,588",Storage,EMC
175,MIRR SW RTU LIC,"$32,700","$24,198",Storage,EMC
176,PAR SW RTU LIC,"$38,200","$28,268",Storage,EMC
177,SW RTU LIC,"$10,000","$7,400",Storage,EMC
178,4NODE REPLICATION SW LIC,"$5,000","$3,700",Storage,EMC
179,3 CNR ACCESSNODE PTY SW,"$23,400","$17,316",Storage,EMC
180,CNR 8TB RAW INCRE FAC INS,"$40,300","$24,986",Storage,EMC
181,CNR 8TB RAW INCRE FLD INS,"$44,180","$27,392",Storage,EMC
182,ACCS NODE 2 STRG NODE LIC,"$20,000","$14,800",Storage,EMC
183,CNR 4N CAP EXPAN SW,"$50,000","$37,000",Storage,EMC
184,SHORT UPLINK CBL KIT,$100,$62,Storage,EMC
185,LONG UPLINK CBL KIT,$200,$124,Storage,EMC
186,CENTERA COMP ED RTU,"$12,400","$9,176",Storage,EMC
187,CE SW RTU LIC,"$9,600","$7,104",Storage,EMC
188,CE SW RTU LIC,"$9,600","$7,104",Storage,EMC
189,CENTERA COMP ED PLUS RTU,"$12,400","$9,176",Storage,EMC
190,4 NODE CHARGEBACK RTU LIC,"$3,000","$2,220",Storage,EMC
191,CLUST UPG KIT,"$10,200","$6,324",Storage,EMC
192,SINGLE CUA NODE G4,"$6,200","$3,844",Storage,EMC
193,CNR INT BOX CUA SW,"$11,600","$8,584",Storage,EMC
194,40U T RACK SP POWER,"$4,200","$2,604",Storage,EMC
195,Dl 8pt GbEth swtch inter,"$18,000","$11,160",Storage,EMC
196,CNR ENT SW DV KIT,"$11,630","$8,606",Storage,EMC
197,4 NODE RTU CNR SEEK LIC,"$4,000","$2,960",Storage,EMC
198,CNR SEEK APPLIANCE SERVER (EMC OEM Products),"$9,500","$8,075",Storage,EMC
199,LX LONG WAVE SFP OPTION,$800,$496,Storage,EMC
200,LONG WAVE SFP OPT,"$2,400","$1,488",Storage,EMC
201,SHORT WAVE SFP OPTION,$400,$248,Storage,EMC
202,4N SEEK & CHBK RTU LIC,"$5,000","$3,700",Storage,EMC
203,CNR RACK TO RACK ENT SW,"$3,000","$2,220",Storage,EMC
204,4.4TB 8NODECNTR3YRS/HMNT,"$144,900","$89,838",Storage,EMC
205,3PH DELTA PDP CORD NAM,"$1,000",$620,Storage,EMC
206,3PH DELTA PDP CORD NAM,"$1,000",$620,Storage,EMC
207,3PH PDP CORD FLY LEADS,"$1,000",$620,Storage,EMC
208,32A 3PH PDP CORD INT,"$1,000",$620,Storage,EMC
209,Dual 40U Rack Power Cord US,$800,$496,Storage,EMC
210,AX100SCI SPARES KIT,"$4,000","$3,600",Storage,EMC
211,AX100SCI SUITCASE SPARE,"$2,700","$2,430",Storage,EMC
212,AX100SC SPARES KIT,"$4,000","$3,600",Storage,EMC
213,AX100SC SUITCASE SPARE,"$2,700","$2,430",Storage,EMC
214,SPARE - System FAN,$110,$99,Storage,EMC
215,SPARE AX150SC CACHE MEM,"$1,100",$990,Storage,EMC
216,SPARE AX150 CHASSIS,$400,$360,Storage,EMC
217,SPARE KIT FOR AX150I,"$5,500","$4,950",Storage,EMC
218,SPARE AX150I SP SUITCASE,"$5,300","$4,770",Storage,EMC
219,SPARE AX150 512 MEM DIMM,$350,$315,Storage,EMC
220,SPARE AX150 PROCESSOR FAN,$150,$135,Storage,EMC
221,SPARE AX150 POWER SUPPLY,$400,$360,Storage,EMC
222,AX150 SINGLE TO DUAL UPGR,"$5,700","$5,130",Storage,EMC
223,AX150I ISCSI SINGLE TO DUAL UPGRADE,"$5,700","$5,130",Storage,EMC
224,SPARE KIT FOR AX150SCI,"$4,000","$3,600",Storage,EMC
225,SPARE AX150SCI SUITCASE,"$2,700","$2,430",Storage,EMC
226,SPARE KIT FOR AX150SC FC,"$4,000","$3,600",Storage,EMC
227,SPARE - AX100SC SUITCASE,"$2,700","$2,430",Storage,EMC
228,2U SINGLE ISCSI SATA DPE-3 250GB - NO US,"$5,600","$5,040",Storage,EMC
229,SPARE AX150 SYSTEM FAN,$175,$158,Storage,EMC
230,SPARE KIT FOR AX150,"$5,500","$4,950",Storage,EMC
231,SPARE AX150 SUITCASE,"$5,300","$4,770",Storage,EMC
232,AX4 2U DUAL SP DPE W DC SUPPLY - FC-PPS,"$8,488","$7,639",Storage,EMC
233,2U SAS/SATA DPE - FC- PPS,"$7,687","$6,918",Storage,EMC
234,2U 1 SP DPEFC FE & 4X750GB 7200K VAULT,"$7,133","$6,420",Storage,EMC
235,AX4 FC SINGLE SP - PPS,"$4,916","$4,424",Storage,EMC
236,2U SINGLE SP DPEFC FE-4FC & 750GB VAULT,"$7,806","$7,025",Storage,EMC
237,2U 1SP DPEFC FRONT END 4 FC PORT NEC,"$5,914","$5,323",Storage,EMC
238,AX4 2U SINGLE SP DPEFC FE-4 FC PORTS PPS,"$5,589","$5,030",Storage,EMC
239,2U DUAL SP DPE FC FE - 8FC PORTS FOR NEC,"$9,690","$8,721",Storage,EMC
240,DUAL SP DPE FC FRONT END 8 FC PORTS- PPS,"$9,365","$8,429",Storage,EMC
241,AX4 2U DPE W DC SUPPLY ISCSI PPS,"$8,018","$7,216",Storage,EMC
242,2U SAS/SATA DPE - ISCSI- PPS,"$7,236","$6,512",Storage,EMC
243,2U 1SP DPEISCSI FE & 4X750GB 7200K VAULT,"$7,133","$6,420",Storage,EMC
244,AX4 ISCSI SINGLE SP-PPS,"$4,681","$4,213",Storage,EMC
245,250GB 7.2K SATA II DISK,$325,$293,Storage,EMC
246,750GB 7200RPM SATA II DRIVE,$775,$698,Storage,EMC
247,160GB 7200RPM SATA,$225,$203,Storage,EMC
248,250GB 7200RPM SATA,$325,$293,Storage,EMC
249,500GB 7200RPM SATA DISK,$630,$567,Storage,EMC
250,750GB 7200RPM SATA II DRIVE,$580,$522,Storage,EMC
251,400GB 10K SAS DRIVE,$910,$819,Storage,EMC
252,146GB 15K SAS DRIVE,$485,$437,Storage,EMC
253,CX200 TO CX600 UPGRADE,"$85,250","$52,855",Storage,EMC
254,CX200 WDRIVES FACT INST,"$23,250","$14,415",Storage,EMC
255,CX200 BUNDLE FOR EMC RACK W/ 10 73GB 10K,"$26,800","$16,616",Storage,EMC
