category,subcategory,name
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_F1 VM (Windows),Microsoft Azure
Virtual Machines,Standard_A4_v2 VM,Microsoft Azure
Cloud Services,Standard_D1 Cloud Services,Microsoft Azure
Virtual Machines,Standard_G2 VM (Windows),Microsoft Azure
Cloud Services,Standard_A8m_v2 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_NC24 VM Low Priority (Windows),Microsoft Azure
Azure App Service,,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,A2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_A8m_v2 VM,Microsoft Azure
Virtual Machines,A6 VM (Windows),Microsoft Azure
Cloud Services,Standard_D3_v2 Cloud Services,Microsoft Azure
Cache,Azure Redis Cache,Microsoft Azure
Virtual Machines,Standard_A8_v2 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Insight and Analytics,OMS Insight and Analytics,Microsoft Azure
Virtual Machines,Standard_D2_v2 VM,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Virtual Machines,Standard_L16 VM,Microsoft Azure
Data Services,Cosmos DB,Microsoft Azure
Virtual Machines,Standard_D5_v2 VM_Promo,Microsoft Azure
Virtual Machines,Standard_D14_v2 VM_Promo (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_G1 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_F2 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Cloud Services,Standard_L32 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D4_v2 VM_Promo,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,A2 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Virtual Machines,Standard_A1_v2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D4_v2 VM (Windows),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_A8_v2 VM,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,BASIC.A3 VM (Windows),Microsoft Azure
Virtual Machines,Standard_G2 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D4_v2 VM (Windows),Microsoft Azure
Linux Support,A11 Canonical,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Cloud Services,A10 Cloud Services,Microsoft Azure
Virtual Machines,A5 VM,Microsoft Azure
Virtual Machines,Standard_D13_v2 VM,Microsoft Azure
Cloud Services,Standard_D1 Cloud Services,Microsoft Azure
Data Services,StorSimple,Microsoft Azure
Service Bus,Basic Event Hubs,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Networking,Basic Application Gateway (Medium),Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
