category,name,subcategory
"Dynamics 365 for Customer Service, Enterprise Edition - From SA for CRM Basic (Qualified Offer) for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) Device CAL",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) Device CAL for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) Device CAL for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) User CAL",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) User CAL for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) User CAL for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition Device",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition Device for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition Device for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Basic (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Basic (Qualified Offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Basic (Qualified Offer) for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Professional (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Professional (Qualified Offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Professional (Qualified Offer) for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition for Students",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users for Faculty",Dynamics 365, 
"Dynamics 365 for Customer Service, Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users for Students",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition - Resource Scheduling Optimization",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition Device",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition Device for Faculty",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition Device for Students",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition for CRMOL Basic + Field Service Add-On (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition for CRMOL Basic + Field Service Add-On (Qualified Offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition for CRMOL Basic + Field Service Add-On (Qualified Offer) for Students",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Field Service, Enterprise Edition for Students",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition - External Accountant",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition - External Accountant for Faculty",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition - External Accountant for Students",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition add-on for NAV Ltd, or SL AM/BE/Std (qualified offer)",Dynamics 365, 
