,brand,model,partner_price,retail_price,category
306,Cisco,CRS-16-LCC-B-RF,57600.0,96000.0,Network
307,Cisco,CRS-16-KP-REAR=,2310.0,3850.0,Network
308,Cisco,CRS-16-KP-REAR,2310.0,3850.0,Network
309,Cisco,CRS-16-HRDDSK=,720.0,1200.0,Network
310,Cisco,CRS-16-FUJI-PANEL=,210.0,350.0,Network
311,Cisco,CRS-16-FRONT-CM=,4620.0,7700.0,Network
312,Cisco,CRS-16-FRONT-CM-RF,2772.0,4620.0,Network
313,Cisco,CRS-16-FLOORTEMP=,360.0,600.0,Network
314,Cisco,CRS-16-FILTER=,720.0,1200.0,Network
315,Cisco,STACK-T2-1M=,120.0,200.0,Network
326,Cisco,CPT-PTM-10GX4=,13800.0,23000.0,Network
327,Cisco,CPT-PTF256-10GX4=,19200.0,32000.0,Network
329,Cisco,CPT-DC-CBL-E=,120.0,200.0,Network
330,Cisco,CPT-DC-CBL-E,120.0,200.0,Power
331,Cisco,CPT-AC-CBL=,24.0,40.0,Power
332,Cisco,CPT-50-44GE-AC=,15000.0,25000.0,Network
333,Cisco,CPT-50-48A-LIC=,6900.0,11500.0,Network
334,Cisco,CPT-50-48E-LIC=,6900.0,11500.0,Network
335,Cisco,CPT-50-AC-LIC=,6900.0,11500.0,Network
336,Cisco,CP-PWR-CORD-IN=,6.0,10.0,Power
337,Cisco,CP-PWR-CORD-CN=,6.0,10.0,Power
338,Cisco,CP-PWR-CORD-JP=,6.0,10.0,Power
339,Cisco,CP-PWR-CORD-NA=,6.0,10.0,Power
340,Cisco,CP-PWR-CORD-SW=,6.0,10.0,Power
341,Cisco,CP-PWR-CORD-CE=,6.0,10.0,Power
342,Cisco,CP-PWR-CORD-CE-RF,3.6,6.0,Power
343,Cisco,CP-PWR-CORD-BZ=,6.0,10.0,Power
344,Cisco,CP-PWR-CORD-AU=,6.0,10.0,Power
345,Cisco,CP-PWR-CORD-AR=,6.0,10.0,Power
346,Cisco,CP-PWR-CORD-UK=,6.0,10.0,Power
