Effective Date,Meter Category,Meter Subcategory,Region,Name,Resource ID,Tags,Included Quantities,Minimum Value,AUD,CAD,CHF,DKK,EUR,GBP,INR,JPY,KRW,NOK,NZD,RUB,SEK,TWD,USD
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,10240,0.31396705,0.29971935,0.22261415,1.5513231,0.20787345,0.1837186685,16.292725625,25.143,295.8,2.00012565,0.36804915,15.40625,1.9402508,7.64827875,0.2465
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,51200,0.265248025,0.253211175,0.188070575,1.31060055,0.175617225,0.15521059925,13.7645440625,21.2415,249.9,1.689761325,0.310938075,13.015625,1.6391774,6.461476875,0.20825
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,153600,0.22735545,0.21703815,0.16120335,1.1233719,0.15052905,0.1330376565,11.798180625,18.207,214.2,1.44836685,0.26651835,11.15625,1.4050092,5.53840875,0.1785
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,512000,0.1948761,0.1860327,0.1381743,0.9628902,0.1290249,0.114032277,10.11272625,15.606,183.6,1.2414573,0.2284443,9.5625,1.2042936,4.7472075,0.153
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,1048576,0.16239675,0.15502725,0.11514525,0.8024085,0.10752075,0.0950268975,8.427271875,13.005,153,1.03454775,0.19037025,7.96875,1.003578,3.95600625,0.1275
9/1/2017,CDN,,Zone 5,Premium CDN Data Transfer - S1 (GB),d4b33bc0-adc7-46e0-9d88-6e2099604b52,,0,5242880,0.16239675,0.15502725,0.11514525,0.8024085,0.10752075,0.0950268975,8.427271875,13.005,153,1.03454775,0.19037025,7.96875,1.003578,3.95600625,0.1275
9/1/2017,Networking,Geo Redundant,US West 2,Data transfer - Geo-Replication (GB),12d79ab0-39f4-4db8-92dd-72eae17c295c,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2017,Networking,ExpressRoute,DoD (US),Metered Data - 5 Gbps,7c141245-ed74-4737-8345-7e08924c3c24,,0,0,3392.73876875,3238.77763125,2405.57618125,16763.6509125,2246.28766875,1985.2702669375,176059.754921875,271696.125,3196425,21613.42674375,3977.15180625,166480.46875,20966.41705,82647.56390625,2663.6875
9/1/2017,Virtual Machines,Standard_A4m_v2 VM (Windows),USGov,Compute Hours,233a43d5-eab3-44f5-a851-879d33f35069,,0,0,0.5196696,0.4960872,0.3684648,2.5677072,0.3440664,0.304086072,26.96727,41.616,489.6,3.3105528,0.6091848,25.5,3.2114496,12.65922,0.408
9/1/2017,Data Services,SQL Database,US Gov TX,Prem PRS11 Sec Active Geo DB Days,9a78b5cf-42e9-4516-884b-7d85b74c3ad3,,0,0,76.277753475,72.816299325,54.083723925,376.89127245,50.502496275,44.63413375575,3958.2895996875,6108.4485,71864.1,485.927078175,89.416906425,3742.921875,471.3805866,1858.136135625,59.88675
9/1/2017,Data Services,SQL Database,IN South,Premium P6 Secondary Geo Database Days,76f9882b-7d4a-4356-804f-99a392b50bed,,0,0,101.335572,96.737004,71.850636,500.702904,67.092948,59.29678404,5258.61765,8115.12,95472,645.557796,118.791036,4972.5,626.232672,2468.5479,79.56
9/1/2017,Cloud Services,Standard_L4 Cloud Services,AU East,Compute Hours,885308fc-3438-4ea1-a9f0-356ac1806722,,0,0,0.60411591,0.57670137,0.42834033,2.98495962,0.39997719,0.3535000587,31.349451375,48.3786,569.16,3.84851763,0.70817733,29.64375,3.73331016,14.71634325,0.4743
9/1/2017,Virtual Machines,Standard_NV24 VM (Windows),EU West,Compute Hours,5d1be127-45e8-4698-8211-ac7de4ee9911,,0,0,6.9072751,6.5938257,4.8975113,34.1291082,4.5732159,4.041810707,358.43996375,553.146,6507.6,44.0027643,8.0970813,338.9375,42.6855176,168.2621325,5.423
9/1/2017,Networking,WAF Application Gateway (Medium),IN South,Application Gateway Hours,0f95eaf6-14dd-4bc9-bc31-48b7ad458f78,,0,0,0.1375825266,0.1313390862,0.0975510558,0.6798004812,0.0910915794,0.080506787562,7.1395847325,11.017836,129.6216,0.8764688538,0.1612816758,6.751125,0.8502312816,3.351528495,0.108018
9/1/2017,Data Services,SQL Database,KR Central,Premium P4 Secondary Active Geo Database Days,452a0d4a-e4ac-4622-a544-ef102b2dce0d,,0,0,71.92010735,68.65640145,50.99399305,355.3599777,47.61735615,42.0842453395,3732.157804375,5759.481,67758.6,458.16671355,84.30863805,3529.09375,444.4512436,1751.98330125,56.4655
9/1/2017,Storage,Locally Redundant,US West,Standard Managed Disk/S15 (Units),803f849c-1eba-4d66-a9f8-a4ba0e940bd8,,0,0,6.13210128,5.85382896,4.34788464,30.29894496,4.05998352,3.5882156496,318.213786,491.0688,5777.28,39.06452304,7.18838064,300.9,37.89510528,149.378796,4.8144
9/1/2017,Virtual Machines,Standard_D11_v2 VM,AU Southeast,Compute Hours,2b794af0-a7ea-4290-988c-3eb887e3dbdd,,0,0,0.216529,0.206703,0.153527,1.069878,0.143361,0.12670253,11.2363625,17.34,204,1.379397,0.253827,10.625,1.338104,5.274675,0.17
9/1/2017,Data Management,Locally Redundant,US Gov AZ,"Archive Block Blob Write Operations (in 10,000s)",a6d75335-7aa7-4f16-89cf-d64597ca9bd1,,0,0,0.351859625,0.335892375,0.249481375,1.73855175,0.232961625,0.20589161125,18.2590890625,28.1775,331.5,2.241520125,0.412468875,17.265625,2.174419,8.571346875,0.27625
9/1/2017,Storage,Read-Access Geo Redundant,BR South,Standard IO - Table/ Queue (GB),21aee331-33c9-4b08-ae23-1f1dc2512296,,0,0,0.176471135,0.168462945,0.125124505,0.87195057,0.116839215,0.10326256195,9.1576354375,14.1321,166.26,1.124208555,0.206869005,8.659375,1.09055476,4.298860125,0.13855
9/1/2017,Storage,Read-Access Geo Redundant,BR South,Standard IO - Table/ Queue (GB),21aee331-33c9-4b08-ae23-1f1dc2512296,,0,1024,0.14723972,0.14055804,0.10439836,0.72751704,0.09748548,0.0861577204,7.6407265,11.7912,138.72,0.93798996,0.17260236,7.225,0.90991072,3.586779,0.1156
9/1/2017,Storage,Read-Access Geo Redundant,BR South,Standard IO - Table/ Queue (GB),21aee331-33c9-4b08-ae23-1f1dc2512296,,0,51200,0.13208269,0.12608883,0.09365147,0.65262558,0.08745021,0.0772885433,6.854181125,10.5774,124.44,0.84143217,0.15483447,6.48125,0.81624344,3.21755175,0.1037
9/1/2017,Storage,Read-Access Geo Redundant,BR South,Standard IO - Table/ Queue (GB),21aee331-33c9-4b08-ae23-1f1dc2512296,,0,512000,0.118008305,0.112653135,0.083672215,0.58308351,0.078131745,0.06905287885,6.1238175625,9.4503,111.18,0.751771365,0.138335715,5.790625,0.72926668,2.874697875,0.09265
9/1/2017,Storage,Read-Access Geo Redundant,BR South,Standard IO - Table/ Queue (GB),21aee331-33c9-4b08-ae23-1f1dc2512296,,0,1024000,0.11042979,0.10541853,0.07829877,0.54563778,0.07311411,0.0646182903,5.730544875,8.8434,104.04,0.70349247,0.12945177,5.41875,0.68243304,2.69008425,0.0867
