,brand,model,retail_price,partner_price,category
549,SonicWall,SUPERMASSIVE 9600 SECURE ,64792,64792,Network
551,SonicWall,SUPERMASSIVE 9400 SECURE ,56692,56692,Network
553,SonicWall,SUPERMASSIVE 9200 SECURE ,43732,43732,Network
555,SonicWall,NSA 6600 SECURE ,32392,32392,Network
557,SonicWall,NSA 5600 SECURE ,17812,17812,Network
559,SonicWall,NSA 4600 SECURE ,9064,9064,Network
561,SonicWall,NSA 3600 SECURE ,6472,6472,Network
563,SonicWall,NSA 2600 SECURE ,3739,3739,Network
694,SonicWall,SMA 200 ,1250,1250,Network
705,SonicWall,SMA 400 ,1995,1995,Network
719,SonicWall,SECURE MOBILE ACCESS 6200 ,4500,4500,Network
720,SonicWall,SECURE MOBILE ACCESS 7200 ,12500,12500,Network
791,SonicWall,SMA 400 SECURE ,2340,2340,Network
794,SonicWall,SMA 200 SECURE ,1391,1391,Network
802,SonicWall,TZ 170 POWER SUPPLY,33,33,Network
838,SonicWall,SUPERMASSIVE 9400,34995,34995,Network
839,SonicWall,SUPERMASSIVE 9400 HIGH AVAILABILITY,24497,24497,Network
840,SonicWall,SUPERMASSIVE 9400 TOTALSECURE ,51793,51793,Network
843,SonicWall,SUPERMASSIVE 9200,26995,26995,Network
844,SonicWall,SUPERMASSIVE 9200 HIGH AVAILABILITY,18897,18897,Network
845,SonicWall,SUPERMASSIVE 9200 TOTALSECURE ,39953,39953,Network
